Time,X,Score,Health
0.2499489,-1.305114,0,5
0.4824784,-0.6149362,0,5
0.7656813,0.1921019,0,5
0.9988843,0.307393,0,5
1.253235,-0.3259235,0,5
1.516339,0.2979755,1,5
1.752451,0.4132666,2,5
2.000734,0.8128617,2,5
2.23301,0.1905323,3,5
2.50219,-0.6055186,4,5
2.778481,-1.121975,4,5
3.028296,-1.121975,5,5
3.261393,-1.121975,5,5
3.494548,-1.121975,7,5
3.744529,-1.121975,9,5
4.032019,-0.8913922,9,5
4.27866,-1.292557,10,5
4.511598,-1.693722,11,5
4.778219,-1.407848,13,5
5.02831,-0.6655186,14,5
5.245511,-0.03377168,14,5
5.515148,0.5995449,15,5
5.731355,0.1430891,16,5
5.994597,-0.2027844,16,5
6.261136,-0.7192402,17,5
6.494615,-1.350987,19,5
6.744908,-1.466279,19,5
7.011736,-1.466279,20,5
7.261564,-1.466279,22,5
7.528078,-0.9741282,22,4
7.790513,-0.2317989,23,4
7.994442,0.0540746,24,4
8.261337,-0.06121656,24,4
8.511345,-0.5761028,24,4
8.74423,-1.26628,26,4
9.011085,-0.871394,29,4
9.244729,-0.1843558,30,4
9.511804,0.5611128,31,4
9.778571,0.7348343,32,4
10.02849,-0.007494987,33,4
10.26184,-0.7048635,34,3
10.51151,-0.47899,34,3
10.74555,0.2080481,35,3
10.99463,0.7229344,36,3
11.2783,0.6660736,37,3
11.51151,0.2649089,39,3
11.74495,-0.1915469,40,3
12.01105,-0.5358508,42,3
12.26111,-1.107598,43,3
12.49468,-0.9954458,43,3
12.76193,-0.1899773,44,3
12.99535,-0.5264332,44,3
13.23109,-0.5785518,45,2
13.51135,-0.8091341,46,2
13.77767,-1.150984,47,1
13.99885,-1.778023,47,1
14.27754,-2.179187,47,1
14.5109,-2.465061,49,1
0,0,0,0
19.42843,-1.489823,0,5
19.69482,-0.7380753,0,5
19.94515,0.007393226,0,5
20.17816,0.3532667,0,5
20.4788,0.6391402,0,5
20.71521,0.6944314,1,5
20.94778,0.1226844,1,5
21.17792,0.1226844,1,5
21.42825,0.1226844,1,5
21.71144,-0.2784803,1,5
21.92789,-0.2784803,2,5
22.21178,-0.2784803,5,5
22.46163,0.0626844,5,5
22.69863,0.1211148,6,5
22.94519,-0.6196449,7,5
23.19544,-0.9495708,8,4
23.46473,-0.9405688,8,3
23.71956,-0.8252776,9,3
23.96493,-0.5425434,11,3
24.18175,-0.371961,11,3
24.45248,-0.2013787,13,3
24.68584,0.3703683,14,3
24.93422,0.4856594,15,3
25.23172,0.1997859,17,3
25.43173,-0.02922675,18,3
25.68192,-0.3119611,19,3
25.94826,-0.3119611,20,3
26.18491,-0.1413787,21,3
26.43156,0.3150771,21,3
26.68153,0.3150771,21,3
26.93131,0.1444948,22,3
27.18146,-0.4288218,23,3
27.44813,-0.544113,25,3
27.69822,-0.544113,26,3
27.932,-0.4288218,26,3
28.19858,-0.4288218,28,3
28.44819,-0.4288218,30,3
28.7157,-0.3135307,31,3
28.94827,-0.08451798,32,3
29.19873,0.487229,33,3
29.44833,1.117406,33,3
29.69849,0.6059405,34,2
29.9358,0.03419352,36,2
30.18187,0.03419352,38,2
30.46518,-0.7681358,38,2
30.73195,-1.350552,40,1
30.97042,-1.867008,41,1
